Year,Rainfall_mm,Temperature_C,Source
1964,1235.1,25.23,Historical
1965,938.4,25.23,Historical
1966,1064.0,25.52,Historical
1967,1148.3,25.17,Historical
1968,1054.2,25.09,Historical
1969,1147.7,25.58,Historical
1970,1247.0,25.23,Historical
1971,1218.0,24.83,Historical
1972,948.5,25.22,Historical
1973,1214.0,25.37,Historical
1974,1043.7,25.08,Historical
1975,1290.2,24.84,Historical
1976,1124.8,25.11,Historical
1977,1270.4,25.29,Historical
1978,1239.3,25.13,Historical
1979,1023.4,25.62,Historical
1980,1189.5,25.6,Historical
1981,1171.6,25.29,Historical
1982,1086.8,25.25,Historical
1983,1331.5,25.12,Historical
1984,1155.9,25.22,Historical
1985,1140.0,25.4,Historical
1986,1126.6,25.23,Historical
1987,1078.9,25.65,Historical
1988,1351.0,25.55,Historical
1989,1122.4,25.15,Historical
1990,1400.6,25.26,Historical
1991,1159.9,25.39,Historical
1992,1121.3,25.25,Historical
1993,1201.9,25.46,Historical
1994,1295.6,25.39,Historical
1995,1243.6,25.46,Historical
1996,1181.8,25.42,Historical
1997,1171.4,25.35,Historical
1998,1243.5,25.72,Historical
1999,1132.0,25.57,Historical
2000,1050.4,25.53,Historical
2001,1083.3,25.6,Historical
2002,920.8,25.74,Historical
2003,1174.5,25.61,Historical
2004,1071.3,25.65,Historical
2005,1232.5,25.58,Historical
2006,1199.4,25.72,Historical
2007,1215.6,25.67,Historical
2008,1132.1,25.55,Historical
2009,959.3,26.05,Historical
2010,1200.5,26.03,Historical
2011,1110.1,25.62,Historical
2012,1073.5,25.6,Historical
2013,1216.2,25.68,Historical
2014,1033.7,25.73,Historical
2015,1093.2,25.92,Historical
2016,1164.828787185355,25.58769336384439,Predicted
2017,1164.5321320918492,25.59316034088219,Predicted
2018,1164.2354769983433,25.598627317919984,Predicted
2019,1163.9388219048374,25.604094294957783,Predicted
2020,1163.6421668113317,25.60956127199558,Predicted
2021,1163.3455117178255,25.615028249033376,Predicted
2022,1163.0488566243198,25.62049522607117,Predicted
2023,1162.7522015308139,25.62596220310897,Predicted
2024,1162.455546437308,25.631429180146768,Predicted
2025,1162.1588913438022,25.636896157184566,Predicted
2026,1161.862236250296,25.64236313422236,Predicted
2027,1161.5655811567904,25.647830111260156,Predicted
2028,1161.2689260632844,25.653297088297954,Predicted
2029,1160.9722709697785,25.658764065335752,Predicted
2030,1160.6756158762728,25.664231042373547,Predicted
2031,1160.3789607827669,25.669698019411346,Predicted
2032,1160.082305689261,25.67516499644914,Predicted
2033,1159.7856505957552,25.68063197348694,Predicted
2034,1159.488995502249,25.686098950524737,Predicted
2035,1159.1923404087433,25.691565927562532,Predicted
2036,1158.8956853152374,25.697032904600327,Predicted
2037,1158.5990302217315,25.702499881638126,Predicted
2038,1158.3023751282258,25.707966858675924,Predicted
2039,1158.0057200347198,25.713433835713722,Predicted
2040,1157.709064941214,25.718900812751517,Predicted
2041,1157.4124098477082,25.724367789789312,Predicted
2042,1157.115754754202,25.72983476682711,Predicted
2043,1156.8190996606963,25.73530174386491,Predicted
2044,1156.5224445671904,25.740768720902704,Predicted
2045,1156.2257894736845,25.746235697940502,Predicted
2046,1155.9291343801788,25.751702674978297,Predicted
2047,1155.6324792866728,25.757169652016096,Predicted
2048,1155.335824193167,25.762636629053894,Predicted
2049,1155.039169099661,25.76810360609169,Predicted
2050,1154.742514006155,25.773570583129484,Predicted
2051,1154.4458589126493,25.779037560167282,Predicted
2052,1154.1492038191434,25.78450453720508,Predicted
2053,1153.8525487256375,25.78997151424288,Predicted
2054,1153.5558936321318,25.795438491280674,Predicted
2055,1153.2592385386256,25.80090546831847,Predicted
2056,1152.96258344512,25.806372445356267,Predicted
2057,1152.665928351614,25.811839422394065,Predicted
2058,1152.369273258108,25.81730639943186,Predicted
2059,1152.0726181646023,25.82277337646966,Predicted
2060,1151.7759630710964,25.828240353507454,Predicted
2061,1151.4793079775905,25.833707330545252,Predicted
2062,1151.1826528840847,25.83917430758305,Predicted
2063,1150.8859977905786,25.844641284620845,Predicted
2064,1150.5893426970729,25.85010826165864,Predicted
2065,1150.292687603567,25.85557523869644,Predicted
2066,1149.996032510061,25.861042215734237,Predicted
2067,1149.6993774165553,25.866509192772035,Predicted
2068,1149.4027223230494,25.87197616980983,Predicted
2069,1149.1060672295434,25.877443146847625,Predicted
2070,1148.8094121360377,25.882910123885424,Predicted
2071,1148.5127570425316,25.888377100923222,Predicted
2072,1148.2161019490259,25.893844077961017,Predicted
2073,1147.91944685552,25.899311054998815,Predicted
2074,1147.622791762014,25.90477803203661,Predicted
2075,1147.3261366685083,25.91024500907441,Predicted
2076,1147.0294815750021,25.915711986112207,Predicted
2077,1146.7328264814964,25.921178963150002,Predicted
2078,1146.4361713879905,25.926645940187797,Predicted
2079,1146.1395162944846,25.932112917225595,Predicted
2080,1145.8428612009789,25.937579894263393,Predicted
2081,1145.546206107473,25.943046871301192,Predicted
2082,1145.249551013967,25.948513848338987,Predicted
2083,1144.9528959204613,25.95398082537678,Predicted
2084,1144.6562408269551,25.95944780241458,Predicted
2085,1144.3595857334494,25.96491477945238,Predicted
2086,1144.0629306399435,25.970381756490173,Predicted
2087,1143.7662755464376,25.97584873352797,Predicted
2088,1143.4696204529318,25.981315710565767,Predicted
2089,1143.172965359426,25.986782687603565,Predicted
2090,1142.87631026592,25.992249664641363,Predicted
2091,1142.5796551724143,25.99771664167916,Predicted
2092,1142.2830000789081,26.003183618716953,Predicted
2093,1141.9863449854024,26.00865059575475,Predicted
2094,1141.6896898918965,26.01411757279255,Predicted
2095,1141.3930347983905,26.01958454983035,Predicted
2096,1141.0963797048848,26.025051526868143,Predicted
2097,1140.799724611379,26.030518503905938,Predicted
2098,1140.503069517873,26.035985480943737,Predicted
2099,1140.2064144243673,26.041452457981535,Predicted
2100,1139.909759330861,26.04691943501933,Predicted
