Year,Rainfall_mm,Temperature_C
2071,1148.5127570425316,25.888377100923222
2072,1148.2161019490259,25.893844077961017
2073,1147.91944685552,25.899311054998815
2074,1147.622791762014,25.90477803203661
2075,1147.3261366685083,25.91024500907441
2076,1147.0294815750021,25.915711986112207
2077,1146.7328264814964,25.921178963150002
2078,1146.4361713879905,25.926645940187797
2079,1146.1395162944846,25.932112917225595
2080,1145.8428612009789,25.937579894263393
2081,1145.546206107473,25.943046871301192
2082,1145.249551013967,25.948513848338987
2083,1144.9528959204613,25.95398082537678
2084,1144.6562408269551,25.95944780241458
2085,1144.3595857334494,25.96491477945238
2086,1144.0629306399435,25.970381756490173
2087,1143.7662755464376,25.97584873352797
2088,1143.4696204529318,25.981315710565767
2089,1143.172965359426,25.986782687603565
2090,1142.87631026592,25.992249664641363
2091,1142.5796551724143,25.99771664167916
2092,1142.2830000789081,26.003183618716953
2093,1141.9863449854024,26.00865059575475
2094,1141.6896898918965,26.01411757279255
2095,1141.3930347983905,26.01958454983035
2096,1141.0963797048848,26.025051526868143
2097,1140.799724611379,26.030518503905938
2098,1140.503069517873,26.035985480943737
2099,1140.2064144243673,26.041452457981535
2100,1139.909759330861,26.04691943501933
